gene_name,t_stat,fold_change,p_value,p_adjusted
Os05g0148600,4.491210597,0.354499295,2.16E-05,0.000154563
Os06g0625900,1.235507474,0.11504704,0.219966166,0.347123188
Os12g0621100,-3.197530094,-0.250450317,0.001933032,0.00718729
Os06g0148600,-6.541799442,-0.385100687,4.02E-09,1.08E-07
Os01g0913400,-1.497163934,-0.070963002,0.137968399,0.241591636
Os09g0465600,-1.664140264,-0.132914904,0.099680833,0.186536539
Os04g0584600,1.690488617,0.130360862,0.094513007,0.178812481
Os06g0473200,-3.533070835,-0.135203224,0.000659967,0.002903362
Os05g0399100,0.702667451,0.048536117,0.484138143,0.618935725
Os12g0481400,-0.407348251,-0.016860465,0.684752365,0.785351069
Os05g0305100,-2.830283924,-0.159700264,0.005774134,0.018167958
Os01g0690800,0.62677915,0.068181554,0.532444623,0.661665618
Os03g0196900,-5.672368616,-0.324595666,1.81E-07,2.63E-06
Os01g0169500,-5.436620339,-0.650704545,4.90E-07,6.16E-06
Os04g0523100,1.929799419,0.147758457,0.056888868,0.119393376
Os02g0132200,3.432572907,0.457272199,0.000917143,0.003833753
Os01g0934700,-5.346594852,-0.399465116,7.13E-07,8.43E-06
Os10g0463200,6.104534411,1.989967759,2.79E-08,5.52E-07
Os06g0287500,-2.478154648,-0.144605708,0.015136817,0.040280578
Os04g0188500,-1.94853625,-1.46129704,0.054572468,0.115437375
Os07g0655500,-5.241007659,-0.254636892,1.10E-06,1.22E-05
Os05g0495600,-0.515188639,-0.041643763,0.607727228,0.724108819
Os05g0122800,-0.273509298,-0.025176357,0.78510973,0.859191788
Os03g0597200,-1.016348101,-0.110278541,0.312280587,0.450526578
Os02g0216300,-2.443752305,-1.316684725,0.01655392,0.043404113
Os05g0227100,-0.24877901,-0.094704545,0.804117822,0.872578774
Os06g0158400,-4.035853464,-0.270498943,0.000116615,0.000661486
Os03g0700400,-3.373243531,-0.508844609,0.001110624,0.004503147
Os03g0269900,1.435124201,0.086602273,0.154835523,0.264560823
Os01g0817600,4.841046338,0.673770085,5.55E-06,4.79E-05
Os03g0748600,-0.829384436,-0.088044926,0.409155801,0.548908606
Os02g0110600,1.275895548,0.140631959,0.20538694,0.329534672
Os04g0266400,-4.11073239,-0.243644952,8.90E-05,0.000524098
Os04g0661600,-1.004885113,-0.06002766,0.317737739,0.456657431
Os04g0433600,0.824055777,0.043142882,0.412160347,0.551712845
Os01g0805300,8.086900588,0.716768323,3.29E-12,3.52E-10
Os05g0294800,-2.12103043,-0.240535412,0.036763338,0.084039799
Os03g0161800,-4.322350585,-0.293919134,4.09E-05,0.000268509
Os08g0191100,-5.364005502,-0.269329281,6.63E-07,7.96E-06
Os03g0197100,-2.864995556,-0.421467935,0.005226658,0.016712342
Os08g0407200,-6.542318302,-0.244570164,4.01E-09,1.08E-07
Os11g0629200,0.713467284,0.131595666,0.477465391,0.612645934
Os01g0229900,-2.500054073,-0.240574877,0.014292327,0.038397175
Os08g0522500,0.59706267,0.031597912,0.552015584,0.678397554
Os03g0214000,7.92306057,0.47029519,7.07E-12,6.56E-10
Os09g0526800,2.595108327,0.185906448,0.011096358,0.031193864
Os04g0382100,-2.859534885,-0.193041755,0.005309497,0.016937121
Os01g0967700,-0.99585434,-0.067882664,0.322081511,0.461124473
Os03g0205800,-1.18488728,-0.122190275,0.2392873,0.369241916
Os03g0337600,6.148058167,0.452379228,2.31E-08,4.71E-07
Os01g0830200,-4.256593524,-0.151248591,5.22E-05,0.000331117
Os01g0658500,1.420896102,0.08402907,0.158919776,0.270075061
Os12g0600100,-3.049082205,-0.267132664,0.00304058,0.010503888
Os04g0600400,-1.057008873,-0.066639535,0.293432522,0.430450667
Os12g0610800,8.679382649,1.618701903,2.03E-13,3.81E-11
Os10g0492300,-0.277118137,-0.017810782,0.782346489,0.857443045
Os04g0619600,-2.346088521,-0.125818534,0.021243737,0.053504561
Os01g0886200,3.036618277,0.075938953,0.003156398,0.010853753
Os10g0533500,3.372386281,0.546318182,0.001113682,0.004512323
Os06g0353700,-3.066059587,-0.446825053,0.002889157,0.010064146
Os03g0101000,-0.811206401,-0.339612051,0.419459955,0.558611458
Os04g0188400,-1.897114542,-1.427996829,0.061128849,0.126485475
Os04g0509600,-0.143201384,-0.033668075,0.886462148,0.928029049
Os05g0155200,-5.022175022,-0.477052502,2.69E-06,2.61E-05
Os02g0579800,-1.838020742,-0.257107294,0.069470799,0.139858737
Os06g0700300,4.974307341,0.808513742,3.26E-06,3.08E-05
Os08g0124100,-1.268584919,-0.426142178,0.207971589,0.332684163
Os03g0278300,1.323099194,0.075948555,0.189267838,0.309538371
Os08g0389500,2.103436746,0.100683404,0.038313642,0.086793252
Os01g0119000,3.461647202,0.492466966,0.000834375,0.003534132
Os01g0749100,3.742079251,0.249555497,0.000326632,0.00159448
Os08g0507400,2.90895374,0.465996476,0.004601848,0.014993409
Os04g0550500,5.432468877,0.307331501,4.98E-07,6.26E-06
Os12g0218100,-2.186349142,-0.534800211,0.03147366,0.074079332
Os08g0196700,-1.454346047,-0.139912262,0.149447174,0.257119851
Os06g0564500,1.852403722,0.163805849,0.067357468,0.136505359
Os04g0648700,-0.042646463,-0.006293869,0.96608104,0.979235569
Os12g0639100,-1.077147123,-0.059877907,0.284391018,0.419889995
Os02g0505400,-0.547316366,-0.026380285,0.585562104,0.70695183
Os03g0582000,0.051250445,0.008929528,0.959243393,0.975197545
Os12g0198400,-1.32143601,-0.345207188,0.189819177,0.310279034
Os06g0149400,-0.199362245,-0.010995772,0.842444403,0.898556915
Os02g0176700,-4.064538248,-0.300635307,0.000105197,0.000604332
Os10g0147400,-3.781228403,-0.522785588,0.00028552,0.001423687
Os01g0869900,1.760714206,0.138142881,0.081799329,0.159636177
Os03g0576400,0.276944579,0.024004228,0.782479316,0.857489215
Os02g0525100,1.342088178,0.122391649,0.183057955,0.301556004
Os10g0437600,-3.792414211,-0.209042283,0.000274711,0.001376809
Os08g0296900,-0.889069918,-0.063716173,0.376416151,0.516093729
Os01g0156600,1.744450239,0.108406448,0.084610708,0.163976909
Os04g0496300,1.661226189,0.288840381,0.100266207,0.187333322
Os03g0238600,-0.138454907,-0.009133853,0.89020074,0.930488442
Os12g0230200,-1.176758542,-0.076697674,0.242500125,0.372759664
Os01g0921600,-3.333993233,-0.154342495,0.001259069,0.005004867
Os01g0147200,-1.404268849,-0.036497093,0.163797251,0.276524859
Os03g0131200,-3.231078321,-0.903981897,0.00174155,0.006591997
Os01g0620300,-0.655137771,-0.049496829,0.514106853,0.646010303
Os08g0385000,-2.91356864,-0.34794556,0.004540409,0.014825591
Os11g0142300,0.39699945,0.017437104,0.692339683,0.7909824
Os09g0132200,-0.276336196,-0.010886364,0.782944976,0.857787744
Os02g0266800,-2.560903922,-0.146258721,0.012163358,0.033612167
Os01g0265400,-1.117962944,-0.149242336,0.266659109,0.400083695
Os09g0526600,-2.453532334,-0.47215451,0.016139464,0.042454782
Os09g0112400,0.151531494,0.013208245,0.879907147,0.924054004
Os02g0498000,0.685340085,0.025299683,0.494950624,0.628386241
Os02g0804500,1.404225165,0.097968816,0.163810215,0.276530285
Os01g0114500,1.272828751,0.047009514,0.20646829,0.330876576
Os06g0214300,1.852710584,0.239936047,0.067312972,0.136434683
Os08g0535800,-2.670590007,-0.206907637,0.009035092,0.026278858
Os10g0103700,0.320105175,0.037508281,0.749655785,0.833950286
Os07g0210000,-2.395178788,-0.097619979,0.018756485,0.048194549
Os03g0125300,-3.760701024,-0.233332452,0.000306419,0.001512736
Os08g0493800,3.557794016,0.252156977,0.000608085,0.002711559
Os04g0613700,6.945681982,0.77679704,6.48E-10,2.47E-08
Os11g0586900,3.639172497,0.340841438,0.00046326,0.002150054
Os02g0131100,2.398507825,0.22267389,0.018597595,0.047873026
Os02g0613900,-6.945081688,-1.043370507,6.49E-10,2.48E-08
Os04g0651000,-2.466450272,-0.136432875,0.015606258,0.04126652
Os08g0445000,4.153415217,0.44712685,7.62E-05,0.000460051
Os06g0114000,4.953072217,0.257442653,3.55E-06,3.31E-05
Os05g0304600,0.20084494,0.019323732,0.841288419,0.897824839
Os12g0137200,6.040731374,0.798591438,3.69E-08,6.91E-07
Os02g0312500,-1.863746731,-0.110729651,0.065729005,0.133839565
Os12g0285600,-1.054389733,-0.07260518,0.294622706,0.431875128
Os04g0502900,-0.901942736,-0.116189746,0.369576495,0.509264817
Os03g0819900,4.581918247,0.335315143,1.53E-05,0.000113579
Os05g0108500,-1.144305988,-0.100533827,0.255633984,0.387736834
Os06g0581500,-1.208295245,-0.030643235,0.230206392,0.358630182
Os05g0437700,-0.38973455,-0.021914905,0.697684893,0.794879848
Os05g0574400,-0.000166667,-9.51E-06,0.9998674,0.999928907
Os07g0674400,-6.373557248,-0.530390063,8.52E-09,2.03E-07
Os05g0502500,-3.585853533,-0.243127378,0.000553884,0.002508665
Os02g0164800,4.977987662,0.377156977,3.22E-06,3.04E-05
Os07g0631200,-0.943052825,-0.335209302,0.348264255,0.487487455
Os02g0125400,5.192214206,0.836500529,1.35E-06,1.44E-05
Os02g0595900,-1.475757379,-0.096765856,0.143617688,0.249191537
Os02g0315600,-1.232379144,-0.083137245,0.221126189,0.348363104
Os07g0186500,-5.590065446,-0.237024841,2.57E-07,3.55E-06
Os06g0133000,3.574219497,0.359479717,0.000575777,0.002590037
Os10g0569100,-1.523238388,-0.133243658,0.131324317,0.232106953
Os10g0415400,1.616973243,0.179395877,0.109502914,0.200813316
Os01g0588200,2.342318122,0.185166755,0.021446344,0.053899975
Os01g0248600,-3.753830765,-0.221052854,0.000313734,0.001542134
Os04g0165900,0.981911083,0.267440803,0.328865246,0.46809576
Os07g0184300,4.163445105,0.289855444,7.35E-05,0.000445323
Os02g0130300,0.023652332,0.001684285,0.981184071,0.98801188
Os06g0189600,-2.970502308,-0.369740618,0.003842152,0.012857949
Os03g0781700,-1.78697993,-0.136107558,0.077422132,0.152902379
Os02g0820000,-6.488933251,-0.264098309,5.09E-09,1.33E-07
Os04g0636100,7.250670829,0.579192389,1.60E-10,7.89E-09
Os11g0130100,-1.269061307,-0.055040698,0.207802436,0.332502945
Os11g0572500,-0.384753339,-0.024551269,0.701358718,0.797437438
Os04g0496000,1.531185975,0.143266913,0.129350145,0.229418348
Os05g0215000,3.189536717,0.29294549,0.00198147,0.007342364
Os02g0210800,-4.433604612,-0.3125,2.69E-05,0.000187109
Os06g0623300,0.926329069,0.053502114,0.356836467,0.496190165
Os04g0608300,-4.884841501,-0.42912685,4.67E-06,4.14E-05
Os12g0190000,-3.359310856,-0.453783298,0.001161325,0.004674638
Os07g0495000,-4.223225152,-0.15703876,5.90E-05,0.000368069
Os02g0772500,-3.752843672,-0.202625264,0.000314798,0.001547098
Os03g0729700,1.128490416,0.09169926,0.262213844,0.394803262
Os11g0603200,-0.393649779,-0.026973837,0.694802315,0.793093059
Os09g0114500,0.914619155,0.054903594,0.362918506,0.502242704
Os02g0677300,3.069658901,1.05760518,0.002857968,0.009978786
Os04g0267600,-1.016963818,-0.039209302,0.311989253,0.450243687
Os09g0538000,-2.003367468,-0.084292577,0.048248611,0.104368298
Os07g0517100,2.911205152,0.467273961,0.00457178,0.01491772
Os10g0503500,-4.89372918,-0.356302326,4.50E-06,4.02E-05
Os05g0136900,1.080480694,0.18258351,0.282913039,0.418329577
Os01g0498300,4.091749683,0.896909619,9.54E-05,0.000556057
Os05g0135700,4.364114906,0.399259117,3.50E-05,0.000234185
Os02g0150700,-3.566040505,-0.274468288,0.000591656,0.002651222
Os07g0548000,-1.334576111,-0.135161734,0.185495979,0.304846271
Os05g0113500,-2.074668316,-0.148249075,0.040970476,0.091590182
Os08g0128000,-0.398013291,-0.145464588,0.691594971,0.79029514
Os10g0479700,1.077948508,0.14880259,0.28403523,0.419507743
Os05g0424800,2.916164189,0.206969345,0.004506187,0.014724018
osa-miR169i,0.435609464,0.020708668,0.664198519,0.770258799
Os07g0529100,-0.468438489,-0.028353594,0.640642105,0.751505145
Os08g0534200,2.216840298,0.135360465,0.02924058,0.069726023
Os03g0709200,-6.420776289,-0.367136364,6.90E-09,1.71E-07
Os03g0396200,-1.74959945,-0.089324524,0.083712139,0.162663996
osa-miR167b,-1.419138558,-0.03441834,0.159429993,0.270779894
Os04g0441900,-0.440741919,-0.015040169,0.660492625,0.767290749
Os11g0516800,-0.527990532,-0.053477273,0.598849476,0.71758709
Os04g0317800,-1.520281586,-0.034678647,0.13206482,0.233056958
Os02g0108800,-1.014003848,-0.081270613,0.313391468,0.451633765
Os01g0787400,6.278980745,0.876384778,1.30E-08,2.89E-07
Os06g0203200,-0.805215403,-0.364805497,0.422889653,0.56186468
Os04g0545600,0.708494585,0.125093552,0.480531433,0.615297178
Os07g0100500,-1.431424876,-0.091294662,0.155889551,0.26594523
Os11g0629400,4.987350973,0.891641121,3.10E-06,2.95E-05
Os07g0568000,-2.88966073,-0.17705695,0.004867083,0.015721773
Os11g0600700,3.002405875,0.117227273,0.003495664,0.011863589
Os03g0797600,-1.656439354,-0.14520384,0.101233826,0.188720505
Os08g0189100,-1.023133653,-0.114145173,0.309079983,0.44681821
Os06g0661800,3.819048858,0.16635148,0.000250522,0.001269711
Os10g0469600,0.361435553,0.015156977,0.718649786,0.811237621
Os03g0240800,-0.294040064,-0.112680761,0.769427365,0.847936701
Os04g0539500,-6.386465077,-0.511096195,8.04E-09,1.94E-07
Os01g0253800,2.920272242,0.344424419,0.004452508,0.014580477
Os09g0372800,5.827144809,0.311278013,9.32E-08,1.49E-06
Os07g0296000,-0.017112738,-0.000854651,0.986385844,0.991173616
Os05g0296600,4.097645055,0.292042283,9.34E-05,0.00054534
Os02g0562400,-0.553192427,-0.045378964,0.581549829,0.703570235
Os03g0421400,-4.136686717,-0.147044662,8.10E-05,0.000483445
Os06g0613000,-5.693428268,-0.390183932,1.65E-07,2.43E-06
Os03g0806500,3.944804542,0.203499471,0.000161271,0.000867103
Os01g0514000,-0.336626269,-0.022835624,0.737208949,0.825120429
Os01g0691300,-3.719366901,-0.17746723,0.000353004,0.001704443
Os02g0549700,-0.9658092,-0.052706395,0.336815602,0.476233317
Os11g0547300,2.145791022,0.132366279,0.034673734,0.080154572
Os02g0694300,-2.601141851,-0.254853066,0.010917169,0.030784723
Os06g0588500,3.321111515,0.175942918,0.001311719,0.005177866
Os12g0555000,-1.372203853,-0.445497357,0.173526186,0.28906083
Os09g0248200,-2.777821487,-0.19425828,0.006701949,0.020509351
Os03g0831700,3.287930045,0.22614667,0.00145701,0.005666993
Os07g0436000,0.306267158,0.024202431,0.76013266,0.840948162
Os02g0109800,8.000063023,0.594650899,4.94E-12,4.91E-10
Os01g0277700,2.209936734,0.07415407,0.029733658,0.070681922
osa-miR169k,-0.311338558,-0.00693314,0.756287746,0.838341342
Os11g0527000,0.111736397,0.007520349,0.911289701,0.9445256
Os12g0228400,0.051195289,0.005229387,0.959287217,0.975207142
Os02g0782900,-2.200237085,-0.314502643,0.030438726,0.072074064
Os12g0483500,0.785936027,0.405801797,0.434039422,0.57278108
Os02g0814300,-1.600037145,-0.249926533,0.113214155,0.206347912
Os02g0105500,-1.252507825,-0.094525195,0.213739842,0.339841316
Os12g0635500,0.042400337,0.004967759,0.966276678,0.979258884
Os08g0458200,-3.697886059,-0.334511099,0.000379801,0.001813452
Os12g0176500,-0.921398969,-0.060772463,0.359389119,0.49865438
Os02g0706600,-5.393527268,-0.853713531,5.86E-07,7.17E-06
Os09g0515400,4.014947279,0.347586681,0.000125676,0.000705129
Os05g0170900,-5.530337314,-0.468078224,3.30E-07,4.40E-06
Os12g0597500,2.37889624,0.216886364,0.019551156,0.049897407
Os05g0535600,0.74935848,0.04977907,0.455661758,0.593364499
Os12g0136500,1.515555349,0.340797833,0.133255292,0.234846615
Os01g0170600,-6.682913657,-0.451383192,2.13E-09,6.39E-08
Os01g0143800,6.795256256,0.456072762,1.28E-09,4.24E-08
Os08g0564300,1.961483234,0.134613461,0.053019032,0.112773796
Os08g0171600,-2.239387686,-0.104281712,0.02767968,0.066642706
Os06g0160600,-0.405660759,-0.08877537,0.685987384,0.786227035
Os01g0108200,-0.942524804,-0.072873414,0.348532855,0.487796703
Os12g0242100,-0.500818292,-0.160303911,0.617763178,0.732500646
Os02g0123700,-2.288888202,-0.503002643,0.024506991,0.060210264
Os01g0687300,0.337415005,0.069292283,0.736616442,0.824594077
Os07g0670800,0.830883465,0.030971459,0.408312975,0.548130395
Os08g0374800,2.238968277,0.185299154,0.027708034,0.066689721
osa-miR171c,2.802325485,0.235176665,0.006252815,0.019385913
Os03g0116700,-3.203236357,-0.530070296,0.001899132,0.007087529
Os12g0485800,-2.560530867,-0.184664376,0.012175488,0.03363409
Os03g0758900,0.327073219,0.012790698,0.744397818,0.830355184
Os01g0867400,1.081713946,0.233917019,0.282367606,0.417762652
Os01g0661400,-2.463018154,-0.152519556,0.015746363,0.041588439
Os08g0552200,-3.258972672,-0.265675476,0.001596002,0.00611948
Os10g0413500,-3.076432867,-0.214720049,0.002800115,0.009808781
Os05g0135500,6.935966002,2.563190804,6.77E-10,2.55E-08
Os09g0313500,-2.175943215,-0.619785412,0.03226911,0.075619146
Os09g0120800,-1.48206584,-0.18940777,0.141934406,0.246965866
Os04g0583700,-7.563692561,-0.7465,3.77E-11,2.55E-09
Os10g0528300,-2.734980223,-0.261648696,0.007558631,0.02263758
Os05g0123200,9.350237734,0.894884955,8.58E-15,3.43E-12
Os03g0641700,0.971019309,0.066110729,0.334229443,0.47340269
Os06g0147300,1.222105171,0.238165962,0.22496727,0.352799315
Os02g0781800,-5.826321889,-0.232272992,9.35E-08,1.50E-06
Os12g0106000,-2.369299699,-0.233042495,0.020033404,0.050967653
Os05g0570300,-0.335336192,-0.012771934,0.73817841,0.825853657
Os07g0649500,-0.413185262,-0.012608351,0.680487076,0.782200792
Os03g0786900,2.59399795,0.138654863,0.011129623,0.031268782
Os03g0751800,-2.125824365,-0.238800211,0.03635045,0.083283906
Os10g0474000,4.151399085,0.409062896,7.68E-05,0.000462461
Os03g0714400,-5.233387014,-0.379922833,1.14E-06,1.25E-05
Os02g0602400,-0.129491431,-0.007630814,0.897267588,0.935555046
Os03g0798200,-7.887068905,-0.324391649,8.37E-12,7.47E-10
Os07g0668200,-0.184642382,-0.010099498,0.853939092,0.906110237
Os02g0116800,-3.502597653,-0.26157981,0.000729682,0.003156139
Os08g0169800,-1.229599779,-0.080663848,0.222160547,0.349565461
Os01g0845000,-0.953808651,-0.054226216,0.342822017,0.482467323
Os03g0597400,2.076932481,0.374928118,0.040755764,0.091270957
Os02g0173100,-0.101002624,-0.012781712,0.919780685,0.950304899
Os05g0466600,5.238714817,0.606413319,1.11E-06,1.23E-05
Os01g0672700,0.095132249,0.010886892,0.924428466,0.953405096
Os09g0320400,-5.118728229,-0.459889535,1.82E-06,1.86E-05
Os11g0152700,-4.840630968,-0.326597252,5.56E-06,4.80E-05
Os01g0164600,3.825645642,0.529618393,0.000244853,0.001244536
Os01g0135900,1.186146339,0.167612447,0.23879241,0.368598582
Os03g0200700,2.755332095,0.160739429,0.007139921,0.021597955
Os05g0420600,1.870583601,0.119178436,0.064763509,0.132221612
Os06g0145600,1.063202513,0.158644292,0.290631093,0.42724714
Os01g0209500,-3.937384574,-0.619209302,0.000165557,0.000884944
Os02g0103900,-1.851207875,-0.124567918,0.067531101,0.136837686
Os06g0114400,-3.614315597,-0.729371036,0.000503602,0.002308951
Os02g0631200,-0.917315131,-0.119794133,0.361512419,0.500675771
Os01g0225300,-1.893413928,-0.07725,0.061625272,0.127206403
Os03g0209600,0.722457272,0.027852008,0.471950129,0.608070211
Os04g0476500,-6.808308947,-0.390401163,1.21E-09,4.04E-08
Os09g0242700,-0.629801389,-0.066156448,0.530474406,0.660101251
Os06g0159900,-0.764533741,-0.178363108,0.446617108,0.585186844
Os12g0565100,-6.1419534,-0.717451374,2.37E-08,4.80E-07
Os02g0191800,-1.90665935,-0.272239958,0.05986398,0.124339504
Os09g0423400,-1.653394194,-0.078971459,0.101853308,0.189626067
Os01g0775200,3.097797924,0.207592143,0.002624697,0.009283161
Os03g0406900,-0.414079874,-0.022678118,0.679834269,0.781826676
Os11g0562100,2.7789888,0.844357822,0.006679901,0.020446292
Os02g0729700,4.693364423,0.367872304,9.92E-06,7.87E-05
Os08g0187900,0.990817137,0.044391121,0.324521439,0.463718524
Os04g0379900,-0.62356803,-0.248929175,0.534542094,0.663371089
Os12g0445100,-2.407081776,-0.248660148,0.018193877,0.047017289
Os02g0740400,-0.837900973,-0.082945208,0.404381399,0.543970084
Os01g0767700,-6.362354937,-0.327793868,8.95E-09,2.11E-07
Os06g0609800,0.119656163,0.007009778,0.90503129,0.940562572
Os06g0267200,0.832680907,0.15938055,0.407303754,0.54704499
osa-miR399d,1.117500999,0.037704634,0.266855367,0.400269862
Os12g0529200,-1.751203372,-0.06677537,0.083433856,0.162267778
Os10g0529600,0.957095515,0.084567125,0.341170018,0.480784262
Os06g0346900,0.731307392,0.046296776,0.46655574,0.603340046
Os03g0340500,0.562487861,0.081312632,0.575229587,0.698401607
Os02g0145600,-2.23382381,-0.287198732,0.028057903,0.067376026
Os06g0731400,3.197610939,0.142581572,0.001932547,0.00718729
Os06g0643800,2.501466545,0.171196089,0.014239339,0.038258443
Os01g0745700,-0.844957741,-0.091218816,0.400451152,0.540529011
Os03g0338400,-2.71616943,-0.290507928,0.007965426,0.023631319
Os07g0409900,-4.816100983,-0.333861523,6.13E-06,5.23E-05
Os06g0669400,2.094877866,0.16064711,0.039088054,0.088223412
Os07g0501900,-4.706231988,-0.213848133,9.44E-06,7.54E-05
Os06g0196900,2.105921365,0.118424841,0.038091332,0.086448456
Os06g0131100,-2.135261334,-0.309765328,0.035549406,0.081765652
Os05g0131200,1.546495452,0.239871564,0.125613436,0.224263394
Os04g0551300,0.664580454,0.038444503,0.508075839,0.640418068
Os03g0701100,-1.918672299,-0.449798802,0.058303486,0.12167796
Os01g0343500,2.822755872,0.215563425,0.005899603,0.018487808
Os10g0196100,-0.384625696,-0.032127907,0.701452953,0.797483296
Os02g0504900,-2.864936129,-0.237474101,0.005227553,0.01671332
Os09g0432900,7.255494233,1.05917389,1.57E-10,7.78E-09
Os06g0611500,2.112113597,0.121608351,0.037542135,0.085434489
Os10g0390800,0.569092051,0.160888478,0.570759364,0.694758673
Os07g0655900,6.269933387,0.316977537,1.35E-08,2.99E-07
Os06g0258900,-2.971442008,-0.176310253,0.003831508,0.012828384
Os07g0582400,-1.212855378,-0.316232381,0.228466724,0.356619331
Os03g0248200,4.533639206,0.461179175,1.84E-05,0.000134111
Os03g0363200,-1.114335003,-0.039546512,0.268203172,0.401688671
Os11g0431700,1.434188806,0.266936575,0.155101518,0.264887653
Os10g0518100,-4.134422272,-0.155962738,8.17E-05,0.000486979
Os01g0689800,-1.087974609,-0.050215645,0.27960988,0.414612611
Os02g0593700,-6.107452415,-0.433995243,2.76E-08,5.46E-07
Os03g0388600,0.559624298,0.024242072,0.577173085,0.700071977
Os04g0607000,6.472562957,0.503970402,5.48E-09,1.42E-07
Os02g0745000,-1.131887371,-0.251998414,0.260790642,0.39348422
Os01g0351200,2.58556405,0.111473573,0.011385244,0.031832442
Os01g0720300,1.192309851,0.069895877,0.236380362,0.36583105
Os03g0105300,-0.918423043,-0.318056378,0.360935596,0.500020998
Os02g0667500,4.597749012,0.733363636,1.44E-05,0.000107674
Os11g0505300,2.067551938,0.556610994,0.041651686,0.092769366
Os04g0395500,0.547765253,0.028964588,0.585255135,0.706701556
Os08g0441900,-0.839801687,-0.045886892,0.403320499,0.543058108
Os03g0294700,0.647072699,0.07044926,0.519287829,0.65041695
Os07g0596600,-5.955067687,-0.320668957,5.36E-08,9.35E-07
Os03g0168300,8.712574757,0.997903277,1.74E-13,3.48E-11
Os03g0616400,0.946506631,0.064389271,0.346510639,0.485848069
Os02g0473200,-5.633035229,-0.295929881,2.14E-07,3.04E-06
Os01g0972800,-4.524475674,-0.234397992,1.91E-05,0.00013794
Os04g0585000,0.303557751,0.06242019,0.762189295,0.842447887
Os03g0293900,-1.774529128,-0.1851043,0.079472254,0.156093634
Os08g0435900,3.547370701,1.138797685,0.000629469,0.002789968
Os03g0188000,-1.74086293,-0.122535412,0.085241396,0.164934948
Os02g0200800,-2.542166982,-0.16844186,0.012786279,0.035031341
Os09g0546200,1.600133722,0.093018499,0.113192709,0.206322083
Os02g0584900,-0.952550744,-0.542482558,0.343455623,0.482973295
Os06g0564100,3.11870415,0.548194503,0.002462987,0.008797889
Os08g0379300,2.894023462,0.224741543,0.004805903,0.015559935
Os08g0157500,3.928949058,0.616552326,0.000170561,0.000908783
Os03g0284900,0.160127846,0.044040301,0.87315141,0.91934218
Os09g0557500,-5.316181273,-0.796952431,8.09E-07,9.36E-06
Os02g0755200,-0.344593001,-0.025853066,0.731231622,0.820403501
Os01g0585100,-2.232425019,-0.156165433,0.0281537,0.067577458
Os10g0337600,0.983398962,0.11027537,0.328136897,0.467481349
Os03g0807900,1.770716593,0.299554704,0.080108926,0.157104781
Os01g0795300,-0.086634282,-0.005083642,0.931161212,0.957354973
Os03g0851800,-2.956008092,-0.173690452,0.004009825,0.013332041
Os01g0744200,4.588812815,0.433008457,1.49E-05,0.000110892
Os06g0155900,-2.062881119,-0.298827696,0.04210408,0.093534574
Os12g0197500,-2.062710433,-0.606908827,0.042120692,0.093556821
Os03g0255000,-4.176173777,-0.262588266,7.02E-05,0.00042792
Os08g0292400,-0.118779226,-0.008201374,0.905723982,0.940872237
Os03g0335300,-1.775531458,-0.147474313,0.079305568,0.155874186
Os08g0547300,-4.664565498,-0.772447674,1.11E-05,8.65E-05
Os01g0894500,-2.284507884,-0.097747357,0.024774213,0.060766775
Os03g0171600,0.733137292,0.054540345,0.465444724,0.60217787
Os04g0335400,0.965212765,0.050298097,0.337112489,0.476605574
Os05g0589400,-1.705879746,-0.199307082,0.091596736,0.174505717
Os02g0690700,6.808315187,0.238935518,1.21E-09,4.04E-08
Os05g0547600,1.725613479,0.465177061,0.087965707,0.168901488
Os09g0421300,-1.573702023,-0.165783298,0.119184562,0.215087334
Os06g0103500,0.223648854,0.011712121,0.823554655,0.886169555
Os05g0580900,0.601295645,0.204216173,0.549205978,0.675832174
Os08g0565700,-1.889691944,-0.192767442,0.062127983,0.128001878
Os05g0114500,-2.665179017,-0.145963531,0.009170387,0.026618618
Os04g0493400,-1.498099032,-0.295137068,0.137725651,0.241270842
Os02g0751900,-5.659465583,-0.272565011,1.91E-07,2.76E-06
Os08g0500700,-1.970886438,-0.220408562,0.051914499,0.110894231
Os01g0754100,1.469662305,0.085727008,0.145258787,0.251441159
Os02g0734700,6.78645878,0.56086945,1.33E-09,4.37E-08
Os07g0298400,0.998068359,0.092284091,0.321012944,0.460128827
Os01g0222600,3.285978988,0.522624207,0.001466006,0.005695735
Os12g0180800,-0.841702931,-0.079015856,0.402261,0.542179918
Os04g0555500,-0.361936434,-0.020052854,0.71827678,0.810945664
Os03g0670000,1.033749512,0.063155655,0.304117095,0.441594741
Os06g0225400,-1.774607856,-0.373169662,0.079459151,0.156090972
Os05g0496500,4.104380541,0.400888214,9.11E-05,0.000534963
Os02g0832500,-4.222781167,-0.173317125,5.91E-05,0.000368509
Os01g0762400,0.948342376,0.185250529,0.3455809,0.484975862
Os08g0151400,-0.016775175,-0.001339852,0.986654369,0.991339369
Os06g0652100,-4.707848711,-0.420604651,9.38E-06,7.51E-05
Os06g0477600,-1.648980944,-0.104687632,0.102756547,0.190994245
Os02g0105900,0.580228143,0.034990926,0.56325994,0.688476924
Os02g0820400,2.093683327,0.240048362,0.039197205,0.088413483
Os05g0139100,1.004460249,0.112899577,0.317941217,0.456905829
Os03g0229000,1.275264442,0.076512156,0.205609125,0.329816526
