gene_name,t_stat,fold_change,p_value,p_adjusted
Os12g0500400,0.836932518,0.036538584,0.404922604,0.544491509
Os11g0303600,-2.180991775,-0.19572093,0.031881025,0.074857988
Os03g0413400,6.201625799,0.472866279,1.82E-08,3.86E-07
Os05g0556400,6.932965319,0.998584038,6.86E-10,2.57E-08
Os02g0824300,-5.924305761,-0.378549154,6.13E-08,1.05E-06
Os04g0486300,-3.526236027,-0.320835095,0.000675032,0.002959539
Os05g0545000,1.368962232,0.275314746,0.174533691,0.290233936
Os09g0518900,5.444097839,1.203463531,4.75E-07,6.00E-06
Os08g0106100,-0.571682242,-0.385984672,0.56901073,0.693314531
Os07g0669900,-4.055250017,-0.19514852,0.000108771,0.000622219
Os08g0203100,2.377766233,0.238403277,0.0196074,0.050022946
Os04g0268300,3.969213053,0.207139535,0.00014791,0.000808601
Os06g0726100,-2.20227263,-0.57309593,0.030289562,0.071762808
Os04g0362300,0.154783876,0.010165433,0.877350077,0.922222329
Os07g0571600,1.398320488,0.107739429,0.165569761,0.278985834
Os02g0709900,-3.576004209,-0.233715645,0.000572366,0.002578783
Os10g0405500,3.217551563,0.3890074,0.001816517,0.006831085
Os03g0377500,-0.461005658,-0.022840909,0.645944469,0.755537654
Os01g0533500,0.105714451,0.008033298,0.916052174,0.947280846
Os06g0287700,2.339997766,0.146951198,0.021571881,0.054135671
Os11g0274700,2.311064211,0.405892706,0.023192771,0.057534625
Os02g0236800,3.423791163,0.282159971,0.000943627,0.003922489
Os10g0410300,-0.864018611,-0.033190275,0.389952562,0.530015554
Os02g0547300,2.820999373,0.145994186,0.005929235,0.018565354
Os04g0423800,-1.14271493,-0.250589323,0.256290594,0.388524978
Os07g0653000,4.26291123,1.012520613,5.10E-05,0.000325142
Os10g0396300,5.916340671,0.736556554,6.34E-08,1.08E-06
Os07g0656800,6.591682858,0.949145877,3.21E-09,8.93E-08
Os08g0469500,4.310736029,0.696705603,4.27E-05,0.000279093
Os05g0120900,-3.943200293,-0.508196089,0.000162188,0.000871045
Os09g0124100,-2.013767675,-0.646617865,0.047122576,0.102342484
Os06g0492300,-1.72524211,-0.162174947,0.088032932,0.168976044
Os06g0587400,0.672642122,0.158753171,0.502956909,0.635462574
Os04g0671800,-3.751607184,-0.18652722,0.000316136,0.001552599
Os08g0116800,0.379496446,0.042565539,0.705243585,0.800308829
Os03g0315400,0.501555606,0.123885307,0.617246461,0.732054199
